category,text
personal,"I'm a walking disaster, I ruin everyone I touch! Why can't I just be normal and experience happiness like others due! I wish I never existed "
qna,What is the most stupid or crazy thing you've ever done when you were angry?
qna,Do girls/women actually respond to these guys asking to meet up?
personal,When you miss someone but you can't tell them
personal,Desperate times call for desperate measures no jobs going I have not enough money coming in think I need a credit card.
misc,Last night I had a dream that I was in a relationship... With my pet unicorn
meetup,"Hey ladies any of you want to chat with a 24 f from Kentwood, MI"
misc,I may be young but im ready!! ;) <3
meetup,Any ladies wana chill ?
personal,Saw a porno that ALMOST scared me out of doing anal...... Almost.
fashion,Seeing couples with identical hairstyles makes me chuckle.
relationships,My bff and I are in love. I had a bf for three years and he has since moved on and recently got a gf. He's so happy and I'm over here all alone. But he tells me I'm still his one and only.
personal,I'm always make funny jokes around my friends so they don't suspect anything's wrong with me.
meetup,Anyone wanna talk? (Me in pic)
meetup,Any ladies staying in the econo Lodge on preston Highway ;)
personal,some days i lay in bed an extra hour or so just playing with my boobs
family,I'm 42 years old and I'm not ashamed to admit that I still need my mom when I'm sick.
personal,Truth is I can't really play guitar
personal,It's amazing how easy it is to convince yourself that you are alone and miserable. Looks like I'll be crying myself to sleep tonight instead of enjoying my youth
family,"Man i was all excited for today , but no my sister had to ruin that"
misc,Need some new friends mine are disrespecting me and my kid and when I asked them for a favor they turned me down
personal,"I wonder how I went from ""I've never drank of my life"" to ""I'm hungover three times a week"""
misc,Don't worry about the past Don't worry about the Future Worry about the present it's a gift.
personal,Ik this is terrible but this guy likes me and I don't like him back... But I still flirt with him because it feels nice to be noticed ...
personal,I cant sleep without my stuff dog. I got him while i was in the ICU and he is the only thing that comforts me
personal,I saw this amazing blond this afternoon.. Yeah Blonds are my kryptonite
relationships,My boyfriend looks like Hans from Frozen... How have I not noticed before?!
misc,I need a drink
relationships,Baby I wish you can hold me and not let me go
misc,Can't find a betterman 
relationships,"I pretend to butt-dial my ex when really I call him on purpose. I don't actually want to talk to him, I just want to passive aggressively stay in his mind. I'm a lunatic haha"
qna,"I really like this guy and I'm pretty sure he likes me back, but he hasn't made any moves on me and I'm starting to get impatient. Ugggh what do I do?"
food,Chips & chocolate spread. Thank me later
school,I want someone to ask me to prom
personal,I like short guys because I can stick there whole body in my vaginal cavity
meetup,If ur pregnant right now message me...
work,I work 7 days a week to avoid my life
meetup,Any girl wanna hang out on this romantic day
personal,"I don't know, I don't know, I don't know!!!!!!!! Ahhhhhhhhhhhhh I wanna scream till the words dry out!!!!!!!!"
meetup,Anyone in Alda?
tatoos,I want a tattoo
pop_culture,Boo you whore.
meetup,Any ladies in the gulfport/Biloxi wanna have a beer with me?
relationships,This is going to be hard but in going to brake up with my boyfriend today
meetup,22 male London
qna,Do girls not think playing guitar is hot anymore?
misc,"America, where everyone is ready to burn a Communist if they dare show their face on American soil."
meetup,Send me a pic of your wife or girlfriend
relationships,I'm guilty of falling in love to quickly
misc,
meetup,fcrfrdr add me on snapchat f 18
meetup,Anyone wanna Kik? First introduce urself and send a pic of yourself 18 f
misc,I love it when I can still smell him on my skin
relationships,Some couples are good at including other people and some couples make you feel like a shitty third wheel.
relationships,My ex thinks we still have a chance if he changes.. I'm not sure how to tell him I've moved on
personal,"I hate being cold to the point were I shake cuz I was melested by my uncle when I was cold and shaking. So I always feel like I did in that moment, it's scary! :("
meetup,Anyone silver or higher in league NA servers wanna play sometime send lol names
meetup,Any girl wanna be my valentine?! Send pic and age. (20/m)
family,Hehe my mother found out I've been having sex oooh such an awkward convo... 
misc,Just wanna see if ur out there
misc,Sick of the same old bullshit
misc,I won't bring her flowers I'll bring her flower seeds cause she wants to make them come to life
qna,"What is best, duckface or usual smile?"
misc,"Take me one more time, take me one more wave, take me for one last ride... I'm out of my head, tonight."
personal,Bored and sad.
relationships,I feel like I missed out on a lot of things since my husband was my first and only
pop_culture,Who else was kinda hoping when Harrison Ford had that plane crash that he was just going to come out guns blazing?
misc,Really wanting to use my bartending certification
personal,"As an adult with ADHD, I feel like most don't understand and think that I'm weird."
fashion,My maid of honor dress. Eh.
family,I blame my dad for my interest in older men......
misc,I need to learn how to keep my mouth shut and keep things to myself.
pop_culture,Watching the original Poseidon adventure on a Friday night because I'm lame 23/f
meetup,Need a female to join us in the bedroom!!!
relationships,My wife is having a girls night out! And I feel fine about it! 
meetup,"Someone talk to us, we're stoned as fuck"
family,"My brother took a drink into the livingroom, even though he knows not to, and spilled it all over the carpet! I was so mad I could hardly talk. WHAT THE HELL BOY?!"
meetup,Anyone in the uk up for discreet gay fun! Uk only
personal,No makeup selfie 
food,I like pizza and French fries
misc,Lumpin' ain't easy
relationships,"I was wearing a corset last night. Boyfriend: Did you wear that as a treat for me? Me: No, I wear it because it's comfortable.."
lgbtq,Where r all the cute ottawa gay/bi girls.
misc,Perfect night for sleeping in hardly anything and cuddled under warm blankets 
personal,So I asked my friends would you ever shave your head? They said no! I said I would only shave my head to make a bald kid with cancer comfortable. :)
lgbtq,Sometimes being a gay guy in the closet is almost impossible 21M
pop_culture,Feeling like a total girl watching PS I love you. Hahaha
school,"School is an endless cycle of ""I just need to make it through this week"" every week."
misc,Hypocrites
meetup,"My fwb lives 30 minutes away from me and and isn't available enough, I need someone nearby. 20M Straight, tall attractive, with a nice body. Ladies Message me for pics and we'll see what happens."
